id,lat,lng,YO,MO,DO,TIME,DETAIL
124,-122.41914385642,37.758860958629,2008,11,20,109,Building_commercial - Not_Offensive
125,-122.419279627295,37.760279194335,2008,11,20,27,Building_commercial - Not_Offensive
126,-122.419423659167,37.761783664122,2008,11,20,15,Building_commercial - Not_Offensive
127,-122.419755131,37.759773299,2008,11,22,107,Building_residential - Post_Abatement_Inspection
128,-122.419760363,37.759841887,2008,11,24,105,Building_residential - Post_Abatement_Inspection
129,-122.419891650197,37.760021320881,2008,11,24,105,Building_residential - Post_Abatement_Inspection
130,-122.419901532067,37.760248417104,2008,11,24,251,Building_residential - Not_Offensive
131,-122.419861600013,37.760140657933,2008,11,24,7,Building_commercial - Not_Offensive
132,-122.419861600013,37.760140657933,2008,11,24,8,Building_commercial - Not_Offensive
133,-122.418821159323,37.755480702891,2008,11,25,10,Building_commercial - Not_Offensive
134,-122.419551993,37.755527116,2008,11,25,214,Building_residential - Not_Offensive
135,-122.419861600013,37.760140657933,2008,11,25,6,Building_commercial - Offensive
136,-122.420578745324,37.755264379883,2008,11,25,195,Building_commercial - Offensive
137,-122.419333885665,37.762292749217,2008,11,25,16,Building_commercial - Post_Abatement_Inspection
138,-122.419106574469,37.758470152226,2008,11,25,104,Building_commercial - Offensive
139,-122.418982387443,37.758623696881,2008,11,25,104,Building_commercial - Offensive
140,-122.419545088,37.757201479,2008,11,26,94,Building_commercial - Not_Offensive
141,-122.41995251,37.758373823,2008,11,26,94,Building_commercial - Not_Offensive
142,-122.420373295,37.759326468,2008,11,26,103,Building_residential - Not_Offensive
143,-122.420754769,37.758959031,2008,11,26,103,Building_residential - Not_Offensive
144,-122.42066206,37.758718813,2008,11,26,254,Building_residential - Not_Offensive
145,-122.420811321,37.759540457,2008,11,26,103,Building_residential - Not_Offensive
146,-122.420392431,37.759531351,2008,11,26,103,Building_residential - Not_Offensive
147,-122.420808863,37.759713004,2008,11,26,14,Building_residential - Not_Offensive
148,-122.420762735,37.759936257,2008,11,26,103,Building_residential - Not_Offensive
149,-122.420630896057,37.758592299054,2008,11,26,94,Building_residential - Not_Offensive
150,-122.416566581063,37.7555682733325,2008,11,28,239,Sidewalk_in_front_of_property - Offensive
151,-122.419171047828,37.760594554312,2008,12,1,98,Building_commercial - Not_Offensive
